product link-href,product name,Description,Price,Vendor,Vendor Turnover,Vendor Expertise,Specification,Product image-src
https://www.udyogmitr.com/product/galista-safety-pvc-rain-boots-lexus,"GALISTA,Safety PVC Rain Boots- LEXUS",GALISTA provides you best Rainwear gumboot that protects the feet from getting wet and gives complete protection.These are high in height and is made up of soft PVC Sole which is made up of 100% fresh look to the shoe and makesit a worth buy for the people who want to try something new and trending.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 6-10, UPPER: SOFT & FLEXBLE PVC FOR COMFORTABLE WALK, LINING: AVAILABLE, HEIGHT: 15 INCHES, OUT SOLE: FULLY MOULDED HARD PVC FOR BETTER GRIP, SUITABLE FOR: SUITABLE FOR MONSOON & EXCESS SLUDGE TERRAIN, USP: WASHABLE GUMBOOTS, COL.: BLACK",https://www.udyogmitr.com/image/202401161215_3143.JPG
https://www.udyogmitr.com/product/galista-safety-pvc-rain-boots-magnum,"GALISTA,Safety PVC Rain Boots- MAGNUM",GALISTA provides you best Rainwear gumboot that protects the feet from getting wet and gives complete protection.These are high in height and is made up of soft PVC Sole which is made up of 100% fresh look to the shoe and makesit a worth buy for the people who want to try something new and trending.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"UPPER: SOFT & FLEXBLE PVC FOR COMFORTABLE WALK, LINING: AVAILABLE, HEIGHT: 15 INCHES, OUT SOLE: FULLY MOULDED HARD PVC FOR BETTER GRIP, SUITABLE FOR: SUITABLE FOR MONSOON & EXCESS SLUDGE TERRAIN, USP: WASHABLE GUMBOOTS, COL.: BLACK, SIZE: 6-10",https://www.udyogmitr.com/image/202401161203_991.JPG
https://www.udyogmitr.com/product/galista-safety-pvc-rain-boots-pilot,"GALISTA,Safety PVC Rain Boots- PILOT",GALISTA provides you best Rainwear gumboot that protects the feet from getting wet and gives complete protection.These are high in height and is made up of soft PVC Sole which is made up of 100% fresh look to the shoe and makesit a worth buy for the people who want to try something new and trending.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"UPPER: SOFT & FLEXBLE PVC FOR COMFORTABLE WALK, LINING: AVAILABLE, HEIGHT: 13 INCHES, OUT SOLE: FULLY MOULDED HARD PVC FOR BETTER GRIP, SUITABLE FOR: SUITABLE FOR MONSOON & EXCESS SLUDGE TERRAIN, USP: WASHABLE GUMBOOTS, COL.: BLACK, SIZE: 6-10",https://www.udyogmitr.com/image/202401161153_6249.JPG
https://www.udyogmitr.com/product/galista-safety-pvc-rain-boots-virat,"GALISTA,Safety PVC Rain Boots- VIRAT",GALISTA provides you best Rainwear gumboot that protects the feet from getting wet and gives complete protection.These are high in height and is made up of soft PVC Sole which is made up of 100% fresh look to the shoe and makesit a worth buy for the people who want to try something new and trending.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 5-11, UPPER: SOFT & FLEXBLE PVC FOR COMFORTABLE WALK, LINING: OPTIONAL, HEIGHT: 11 INCHES, OUT SOLE: FULLY MOULDED HARD PVC FOR BETTER GRIP, SUITABLE FOR: SUITABLE FOR MONSOON & EXCESS SLUDGE TERRAIN, COL.: BLACK",https://www.udyogmitr.com/image/202401161141_8929.JPG
https://www.udyogmitr.com/product/galista-pvc-rain-collar-boots,"GALISTA,PVC Rain - COLLAR BOOTS",GALISTA provides you best Rainwear gumboot that protects the feet from getting wet and gives complete protection.These are high in height and is made up of soft PVC Sole which is made up of 100% fresh look to the shoe and makesit a worth buy for the people who want to try something new and trending.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 6-12, UPPER: SOFT & FLEXBLE PVC FOR COMFORTABLE WALK, OUT SOLE: FULLY MOULDED HARD PVC FOR BETTER GRIP, TOE CAP: POWDER COATED STEEL TOE CAP WITH 140 JOULES IMPACT RESISTANCE., USP: WASHABLE SAFETY SHOES, SUITABLE FOR: ENGIEERING, CEMENT INDUSTRIES,CONSTRUCTION,MINIG & RAILWAYS, DURING MONSOON & SLUDGE TERRAIN, COL.: BLACK",https://www.udyogmitr.com/image/202401161113_6504.JPG
https://www.udyogmitr.com/product/galista-pvc-rain-boots-button,"GALISTA,PVC Rain Boots-BUTTON",GALISTA provides you best Rainwear gumboot that protects the feet from getting wet and gives complete protection.These are high in height and is made up of soft PVC Sole which is made up of 100% fresh look to the shoe and makesit a worth buy for the people who want to try something new and trending.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 6-12, UPPER: SOFT & FLEXBLE PVC FOR COMFORTABLE WALK, TOE CAP: POWDER COATED STEEL TOE CAP WITH 140 JOULES IMPACT RESISTANCE., USP: WASHABLE SAFETY SHOES, SUITABLE FOR: ENGIEERING, CEMENT INDUSTRIES,CONSTRUCTION,MINIG & RAILWAYS, DURING MONSOON & SLUDGE TERRAIN, COL.: BLACK",https://www.udyogmitr.com/image/202401161058_2458.JPG
https://www.udyogmitr.com/product/galista-pvc-rain-boots-safari,"GALISTA,PVC Rain Boots-SAFARI",GALISTA provides you best Rainwear gumboot that protects the feet from getting wet and gives complete protection.These are high in height and is made up of soft PVC Sole which is made up of 100% fresh look to the shoe and makesit a worth buy for the people who want to try something new and trending.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 6-10, UPPER: SOFT & FLEXBLE PVC FOR COMFORTABLE WALK, OUT SOLE: FULLY MOULDED HARD PVC FOR BETTER GRIP, TOE CAP: POWDER COATED STEEL TOE CAP WITH 140JOULES IMPACT RESISTANCE., LACES: 80 CML LONG & ARE MADE UP OF NYLON, SUITABLE FOR: ENGIEERING, CEMENT INDUSTRIES, CONSTRUCTION,MINIG & RAILWAYS, DURING MONSOON & SLUDGE TERRAIN, COL.: BLACK",https://www.udyogmitr.com/image/202401161041_5038.JPG
https://www.udyogmitr.com/product/galista-safety-prodducts-strike,"GALISTA,Safety Prodducts- STRIKE",We are a trusted name in manufacturing PU molded safety shoes-light weight which are provided in the different models.Our safety footwear is given sophisticted design with its upper part having buff leather of superrior quality and having tear strength. They come with directly molded PU sole with anti skid design manufactured with best quality of PU chemicals.They are moderate chemical resistors but excellent abrasion resistors.They have moderate penetration resistance and are excellent oil resistors.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 5-12, UPPER: 100% FLYKNIT FABRIC, VAMP: HIGHLY ABRASION RESISTANT FABRIC LINING, LINING: SOFT, BREATHABLE AND ABSORBENT MESH LINING WITH ANTI-MICROBIAL TREATMENT, TOE CAP: EN CERTIFIED,IMPORTED,POWDER COATED ALLOY STEEL TOE CAP WITH 200 JOULES IMPACT RESISTANT., SOLE: :DOUBLE DENSITYPU SOLE FOR ENHACED COMFORT,DURABILITY & SAFETYCLEATED OUT SOLE WITH WIDE CLEATS FORHIGHER GRIP AND SELF CLEANING EFFECT  OIL/ACID RESISTANT,ANTI SLIP AND SHOCK ABSORBING PROPERTIES, STRENGTH: MAX 120'C FOR 1 MINUTE EXPOSURE, COL.: .BLACK",https://www.udyogmitr.com/image/202401151652_8408.JPG
https://www.udyogmitr.com/product/galista-safety-prodducts-warrior,"GALISTA,Safety Prodducts- WARRIOR",We are a trusted name in manufacturing PU molded safety shoes-light weight which are provided in the different models.Our safety footwear is given sophisticted design with its upper part having buff leather of superrior quality and having tear strength. They come with directly molded PU sole with anti skid design manufactured with best quality of PU chemicals.They are moderate chemical resistors but excellent abrasion resistors.They have moderate penetration resistance and are excellent oil resistors.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 5-12, UPPER: 100% FLYKNIT FABRIC, VAMP: HIGHLY ABRASION RESISTANT FABRIC LINING, LINING: SOFT, BREATHABLE AND ABSORBENT MESH LINING WITH ANTI-MICROBIAL TREATMENT, TOE CAP: EN CERTIFIED,IMPORTED,POWDER COATEDALLOY STEEL TOE CAP WITH 200 JOULESIMPACT RESISTANT., SOLE: PU SOLE FOR ENHACECOMFORT,DURABILITY & SAFETYCLEATED OUT SOLE WITH WIDE CLEATS FOR HIGHER GRIP AND SELF CLEANING EFFECT OIL/ACID RESISTANT,ANTI SLIP AND SHOCKABSORBING PROPERTIES, STRENGTH: MAX 120'C FOR 1 MINUTE EXPOSURE, STRENGTH: MAX 120'C FOR 1 MINUTE EXPOSURE, COL.: BLACK",https://www.udyogmitr.com/image/202401151639_8341.JPG
https://www.udyogmitr.com/product/galista-safety-prodducts-vista,"GALISTA,Safety Prodducts- VISTA",We are a trusted name in manufacturing PU molded safety shoes-light weight which are provided in the different models.Our safety footwear is given sophisticted design with its upper part having buff leather of superrior quality and having tear strength. They come with directly molded PU sole with anti skid design manufactured with best quality of PU chemicals.They are moderate chemical resistors but excellent abrasion resistors.They have moderate penetration resistance and are excellent oil resistors.,As per Requirement,Mahavir Safety Products, Rs 2 Crore, Personal Protective Equipment and Fire Fighting Equipments,"SIZE: 5-12, UPPER: 100% GENUINE LEATHER IN BARTON PRINT, VAMP: HIGHLY ABRASION RESISTANT FABRIC LINING, LINING: SOFT, BREATHABLE AND ABSORBENT MESHLINING WITH ANTI-MICROBIAL TREATMENT, TOE CAP: EN CERTIFIED,IMPORTED,POWDER COATED ALLOY STEEL TOE CAP WITH 200 JOULESIMPACT RESISTANT., SOLE: : DOUBLE DENSITYPU SOLE FOR ENHACEDCOMFORT,DURABILITY & SAFETY:CLEATED OUT SOLE WITH WIDE CLEATS FOR HIGHER GRIP AND SELF CLEANING EFFECT OIL/ACID RESISTANT,ANTI SLIP AND SHOC ABSORBING PROPERTIES, STRENGTH: MAX 120'C FOR 1 MINUTE EXPOSURE, COL.: BLACK YELLOW",https://www.udyogmitr.com/image/202401151619_9290.JPG
